I	N	Pc	Pm
300	400	0.7	0.001
300	400	0.7	0.001
300	400	0.7	0.001
300	400	0.7	0.2
300	400	0.7	0.2
300	400	0.7	0.2
300	400	0.99	0.001
300	400	0.99	0.001
300	400	0.99	0.001
300	400	0.99	0.2
300	400	0.99	0.2
300	400	0.99	0.2
300	50	0.7	0.001
300	50	0.7	0.001
300	50	0.7	0.001
300	50	0.7	0.2
300	50	0.7	0.2
300	50	0.7	0.2
300	50	0.99	0.001
300	50	0.99	0.001
300	50	0.99	0.001
300	50	0.99	0.2
300	50	0.99	0.2
300	50	0.99	0.2
200	400	0.7	0.001
200	400	0.7	0.001
200	400	0.7	0.001
200	400	0.7	0.2
200	400	0.7	0.2
200	400	0.7	0.2
200	400	0.99	0.001
200	400	0.99	0.001
200	400	0.99	0.001
200	400	0.99	0.2
200	400	0.99	0.2
200	400	0.99	0.2
200	50	0.7	0.001
200	50	0.7	0.001
200	50	0.7	0.001
200	50	0.7	0.2
200	50	0.7	0.2
200	50	0.7	0.2
200	50	0.99	0.001
200	50	0.99	0.001
200	50	0.99	0.001
200	50	0.99	0.2
200	50	0.99	0.2
200	50	0.99	0.2
